drug_id,drug_name,n_diseases,n_edges,pmid_count_sum,total_articles_sum,total_articles_median
@CHEMICAL_17_alpha_Hydroxyprogesterone_Caproate,Progesterone,109,109,420,577,1.0
@CHEMICAL_Norethindrone_Acetate,Norethindrone,108,108,509,509,2.0
@CHEMICAL_acetylsalicylic_acid_lysinate,Aspirin,107,107,326,326,1.0
@CHEMICAL_testosterone_enanthate,Testosterone,103,103,358,358,1.0
@CHEMICAL_Hydrocodone,Hydrocodone,101,101,502,600,1.0
@CHEMICAL_Olmesartan_Medoxomil,Olmesartan,101,101,375,469,1.0
@CHEMICAL_Meclizine,Meclizine,99,99,218,218,1.0
@CHEMICAL_Insulin_Glargine,Insulin Glargine,98,98,858,1895,1.5
@CHEMICAL_Triamterene,Triamterene,95,95,394,394,1.0
@CHEMICAL_Lisdexamfetamine_Dimesylate,Lisdexamfetamine,91,91,643,855,2.0
@CHEMICAL_levocetirizine,Cetirizine,91,91,609,622,2.0
@CHEMICAL_clindamycin_phosphate,Clindamycin,91,91,294,336,1.0
@CHEMICAL_Methyltestosterone,Testosterone,90,90,220,220,1.0
@CHEMICAL_perfluorooctanoic_acid,Potassium Chloride,85,85,808,808,4.0
@CHEMICAL_Glipizide,Glipizide,85,85,494,674,1.0
@CHEMICAL_cyclobenzaprine,Cyclobenzaprine,83,83,278,278,1.0
@CHEMICAL_Isosorbide,Isosorbide,78,78,148,148,1.0
@CHEMICAL_Methocarbamol,Methocarbamol,75,75,168,168,1.0
@CHEMICAL_triamcinolone_hexacetonide,Triamcinolone,74,74,289,289,1.0
@CHEMICAL_nitroaspirin,Aspirin,69,69,152,152,1.0
@CHEMICAL_prednisolone_phosphate,Prednisolone,60,60,134,134,1.0
@CHEMICAL_fluticasone_furoate,Fluticasone,59,59,457,584,1.0
@CHEMICAL_Triiodothyronine_Reverse,Thyroid,54,54,209,209,2.0
@CHEMICAL_Mestranol,Ethinyl Estradiol,52,52,89,89,1.0
@CHEMICAL_Insulin_Lispro,Insulin Lispro,49,49,514,645,2.0
@CHEMICAL_naproxen_n_butyl_nitrate,Naproxen,45,45,113,113,1.0
@CHEMICAL_methylprednisolone_aceponate,Methylprednisolone,44,44,98,98,1.0
@CHEMICAL_2_oxindole,Diclofenac,44,44,78,78,1.0
@CHEMICAL_Ezetimibe_Simvastatin_Drug_Combination,Simvastatin,43,43,183,183,1.0
@CHEMICAL_Insulin_Aspart,Insulin Aspart,40,40,419,561,1.0
@CHEMICAL_Valproic_acid_antenatal_infection,Valproate,39,39,63,63,1.0
@CHEMICAL_testosterone_17_beta_cypionate,Testosterone,39,39,63,63,1.0
@CHEMICAL_norgestimate,Norgestimate,38,38,125,125,2.0
@CHEMICAL_Dextrothyroxine,Thyroid,36,36,84,84,1.5
@CHEMICAL_diclofenac_hydroxyethylpyrrolidine,Diclofenac,35,35,123,123,1.0
@CHEMICAL_Dioctyl_Sulfosuccinic_Acid,Docusate,34,34,91,91,1.0
@CHEMICAL_losartan_carboxylic_acid,Losartan,33,33,63,63,1.0
@CHEMICAL_prednisolone_hemisuccinate,Prednisolone,33,33,47,47,1.0
@CHEMICAL_drospirenone_and_ethinyl_estradiol_combination,Ethinyl Estradiol,31,31,63,63,1.0
@CHEMICAL_vilanterol,Vilanterol,30,30,262,465,1.0
@CHEMICAL_Cyproterone_acetate_ethinyl_estradiol_drug_combination,Ethinyl Estradiol,30,30,153,153,1.5
@CHEMICAL_2_5_dimethylcelecoxib,Celecoxib,30,30,66,66,1.0
@CHEMICAL_aspirin_eugenol_ester,Aspirin,29,29,85,85,1.0
@CHEMICAL_Budesonide_Formoterol_Fumarate_Drug_Combination,Formoterol,28,28,185,248,1.0
@CHEMICAL_ibuprofen_arginine,Ibuprofen,27,27,48,48,1.0
@CHEMICAL_prednicarbate,Prednisolone,22,22,84,84,1.0
@CHEMICAL_Ethinyl_Estradiol_Norgestrel_Combination,Ethinyl Estradiol,22,22,39,39,1.0
@CHEMICAL_estradiol_17_beta_cypionate,Estradiol,22,22,29,29,1.0
@CHEMICAL_norethindrone_enanthate,Norethindrone,21,21,53,53,1.0
@CHEMICAL_Quinestrol,Ethinyl Estradiol,20,20,34,34,1.0
@CHEMICAL_Fluticasone_Salmeterol_Drug_Combination,Fluticasone,19,19,213,217,1.0
@CHEMICAL_hydrochlorothiazide_triamterene,Hydrochlorothiazide,19,19,53,53,1.0
@CHEMICAL_triamcinolone_diacetate,Triamcinolone,19,19,27,27,1.0
@CHEMICAL_isosorbide_hydralazine_combination,Hydralazine,17,17,72,72,1.0
@CHEMICAL_Aspirin_Dipyridamole_Drug_Combination,Aspirin,17,17,40,40,1.0
@CHEMICAL_oxycodone_acetaminophen,Oxycodone,17,17,37,37,1.0
@CHEMICAL_7_hydroxymethotrexate,Methotrexate,16,16,36,36,1.0
@CHEMICAL_acetaminophen_hydrocodone_drug_combination,Hydrocodone,16,16,31,31,1.0
@CHEMICAL_acetaminophen_codeine_drug_combination,Acetaminophen,16,16,26,26,1.0
@CHEMICAL_norgestimate_ethinyl_estradiol_drug_combination,Norgestimate,16,16,20,20,1.0
@CHEMICAL_Technetium_Tc_99m_ciprofloxacin,Ciprofloxacin,15,15,53,53,2.0
@CHEMICAL_diclofenac_diethylamine,Diclofenac,15,15,43,43,1.0
@CHEMICAL_6_methylprednisolone_21_hemisuberate_N_N_N'_triethylenediamine_amide,Methylprednisolone,15,15,18,18,1.0
@CHEMICAL_amiloride_hydrochlorothiazide_drug_combination,Hydrochlorothiazide,14,14,51,51,1.0
@CHEMICAL_acetaminophen_dextropropoxyphene_drug_combination,Acetaminophen,13,13,51,51,2.0
@CHEMICAL_hydrochlorothiazide_losartan_drug_combination,Losartan,13,13,36,36,1.0
@CHEMICAL_sumatriptan_naproxen,Naproxen,13,13,28,28,1.0
