drug_name,drug_id,disease_name,disease_id,pmid_count,total_articles
Atorvastatin,@CHEMICAL_Atorvastatin,Hyperlipidemia Familial Combined,@DISEASE_Hyperlipidemia_Familial_Combined,17,17
Atorvastatin,@CHEMICAL_Atorvastatin,Osteoporosis,@DISEASE_Osteoporosis,17,17
Atorvastatin,@CHEMICAL_Atorvastatin,Brain Injuries,@DISEASE_Brain_Injuries,16,16
Atorvastatin,@CHEMICAL_Atorvastatin,Hemorrhage,@DISEASE_Hemorrhage,24,24
Atorvastatin,@CHEMICAL_Atorvastatin,Liver Failure,@DISEASE_Liver_Failure,58,58
Atorvastatin,@CHEMICAL_Atorvastatin,Osteoarthritis,@DISEASE_Osteoarthritis,16,16
Atorvastatin,@CHEMICAL_Atorvastatin,Pancreatic Neoplasms,@DISEASE_Pancreatic_Neoplasms,15,15
Atorvastatin,@CHEMICAL_Atorvastatin,Seizures,@DISEASE_Seizures,19,19
Atorvastatin,@CHEMICAL_Atorvastatin,Subarachnoid Hemorrhage,@DISEASE_Subarachnoid_Hemorrhage,15,15
Atorvastatin,@CHEMICAL_Atorvastatin,Arrhythmias Cardiac,@DISEASE_Arrhythmias_Cardiac,14,14
Atorvastatin,@CHEMICAL_Atorvastatin,Carcinoma Non Small Cell Lung,@DISEASE_Carcinoma_Non_Small_Cell_Lung,14,14
Atorvastatin,@CHEMICAL_Atorvastatin,Cardiomyopathy Dilated,@DISEASE_Cardiomyopathy_Dilated,15,15
Atorvastatin,@CHEMICAL_Atorvastatin,Constriction Pathologic,@DISEASE_Constriction_Pathologic,16,16
Atorvastatin,@CHEMICAL_Atorvastatin,Encephalomyelitis Autoimmune Experimental,@DISEASE_Encephalomyelitis_Autoimmune_Experimental,14,14
Atorvastatin,@CHEMICAL_Atorvastatin,Glioblastoma,@DISEASE_Glioblastoma,14,14
Atorvastatin,@CHEMICAL_Atorvastatin,Periodontitis,@DISEASE_Periodontitis,14,14
Atorvastatin,@CHEMICAL_Atorvastatin,Spinal Cord Injuries,@DISEASE_Spinal_Cord_Injuries,14,14
Atorvastatin,@CHEMICAL_Atorvastatin,Aortic Aneurysm Abdominal,@DISEASE_Aortic_Aneurysm_Abdominal,13,13
Atorvastatin,@CHEMICAL_Atorvastatin,Chronic Periodontitis,@DISEASE_Chronic_Periodontitis,13,13
Atorvastatin,@CHEMICAL_Atorvastatin,Glycosuria Renal,@DISEASE_Glycosuria_Renal,14,14
Atorvastatin,@CHEMICAL_Atorvastatin,Hypertriglyceridemic Waist,@DISEASE_Hypertriglyceridemic_Waist,13,13
Atorvastatin,@CHEMICAL_Atorvastatin,Hypertrophy Left Ventricular,@DISEASE_Hypertrophy_Left_Ventricular,15,15
Atorvastatin,@CHEMICAL_Atorvastatin,Ischemic Stroke,@DISEASE_Ischemic_Stroke,13,13
Atorvastatin,@CHEMICAL_Atorvastatin,Malformations of Cortical Development Group I,@DISEASE_Malformations_of_Cortical_Development_Group_I,14,14
Atorvastatin,@CHEMICAL_Atorvastatin,Mitochondrial Diseases,@DISEASE_Mitochondrial_Diseases,34,34
Atorvastatin,@CHEMICAL_Atorvastatin,Neointima,@DISEASE_Neointima,13,13
Atorvastatin,@CHEMICAL_Atorvastatin,Pancreatitis,@DISEASE_Pancreatitis,23,23
Atorvastatin,@CHEMICAL_Atorvastatin,Renal Artery Obstruction,@DISEASE_Renal_Artery_Obstruction,12,12
Atorvastatin,@CHEMICAL_Atorvastatin,Cardiomyopathy Hypertrophic,@DISEASE_Cardiomyopathy_Hypertrophic,14,14
Atorvastatin,@CHEMICAL_Atorvastatin,Chemical and Drug Induced Liver Injury,@DISEASE_Chemical_and_Drug_Induced_Liver_Injury,76,76
Atorvastatin,@CHEMICAL_Atorvastatin,Hyperglycemia,@DISEASE_Hyperglycemia,18,18
Atorvastatin,@CHEMICAL_Atorvastatin,Kidney Failure Chronic,@DISEASE_Kidney_Failure_Chronic,14,14
Atorvastatin,@CHEMICAL_Atorvastatin,Myocardial Stunning,@DISEASE_Myocardial_Stunning,13,13
Atorvastatin,@CHEMICAL_Atorvastatin,No Reflow Phenomenon,@DISEASE_No_Reflow_Phenomenon,12,12
Atorvastatin,@CHEMICAL_Atorvastatin,Pneumonia,@DISEASE_Pneumonia,14,14
Atorvastatin,@CHEMICAL_Atorvastatin,Pulmonary Disease Chronic Obstructive,@DISEASE_Pulmonary_Disease_Chronic_Obstructive,12,12
Atorvastatin,@CHEMICAL_Atorvastatin,Stiff Skin Syndrome,@DISEASE_Stiff_Skin_Syndrome,17,17
Atorvastatin,@CHEMICAL_Atorvastatin,Coronary Stenosis,@DISEASE_Coronary_Stenosis,11,11
Atorvastatin,@CHEMICAL_Atorvastatin,Edema,@DISEASE_Edema,17,17
Atorvastatin,@CHEMICAL_Atorvastatin,Erectile Dysfunction,@DISEASE_Erectile_Dysfunction,19,19
Atorvastatin,@CHEMICAL_Atorvastatin,Essential Hypertension,@DISEASE_Essential_Hypertension,11,11
Atorvastatin,@CHEMICAL_Atorvastatin,Glucose Intolerance,@DISEASE_Glucose_Intolerance,18,18
Atorvastatin,@CHEMICAL_Atorvastatin,Memory Disorders,@DISEASE_Memory_Disorders,17,17
Atorvastatin,@CHEMICAL_Atorvastatin,Myotonic Dystrophy,@DISEASE_Myotonic_Dystrophy,11,11
Atorvastatin,@CHEMICAL_Atorvastatin,Pulmonary Fibrosis,@DISEASE_Pulmonary_Fibrosis,12,12
Atorvastatin,@CHEMICAL_Atorvastatin,Xanthomatosis,@DISEASE_Xanthomatosis,11,11
Atorvastatin,@CHEMICAL_Atorvastatin,Asthma,@DISEASE_Asthma,10,10
Atorvastatin,@CHEMICAL_Atorvastatin,Bone Diseases,@DISEASE_Bone_Diseases,12,12
Atorvastatin,@CHEMICAL_Atorvastatin,Carcinoma Renal Cell,@DISEASE_Carcinoma_Renal_Cell,11,11
Atorvastatin,@CHEMICAL_Atorvastatin,Coronary Restenosis,@DISEASE_Coronary_Restenosis,12,12
Atorvastatin,@CHEMICAL_Atorvastatin,Heart Arrest,@DISEASE_Heart_Arrest,12,12
