drug,nct_id,title,status,phase,disease,first_submit,_row_id,disease_raw,disease_resolved_label,disease_resolved_id,resolve_status,accept_auto,reject_reason,extra_tokens,total_candidates_available,n_candidates_returned
Atorvastatin,NCT02001883,Low-dose Statins and Nutraceuticals in High-intensity Statin-intolerant Patients,UNKNOWN,PHASE4,Coronary Artery Disease,2013-11-24 00:00:00+00:00,27,Coronary Artery Disease,Coronary Artery Disease,@DISEASE_Coronary_Artery_Disease,exact,True,,0,4,0
Atorvastatin,NCT01245608,Prevention of Cardiovascular Disease Using a Single PolyPill in an Urban Population - Focus on Liver-Related Variables.,COMPLETED,PHASE3,Cardiovascular Diseases,2010-11-19 00:00:00+00:00,31,Cardiovascular Diseases,Cardiovascular Diseases,@DISEASE_Cardiovascular_Diseases,exact,True,,0,1,0
Atorvastatin,NCT01455935,Wake up Symptomatic Stroke - Benefit of Intravenous Clot Busters or Endovascular Intervention,UNKNOWN,PHASE2,Stroke,2011-10-07 00:00:00+00:00,34,Stroke,Stroke,@DISEASE_Stroke,exact,True,,0,5,0
Atorvastatin,NCT05996978,Intensive Drug Therapy for Ischemic Stroke Caused by Severe Intracranial Arterial Stenosis,COMPLETED,,Ischemic Stroke,2023-08-10 00:00:00+00:00,35,Ischemic Stroke,Ischemic Stroke,@DISEASE_Ischemic_Stroke,exact,True,,0,1,0
Atorvastatin,NCT01013103,Pleiotropic Effects of Atorvastatin in High Cardiovascular Risk Patients,COMPLETED,PHASE4,Coronary Artery Disease; HMG-CoA Reductase Inhibitor Toxicity; Atherosclerosis; Oxidative Stress; Endothelial Dysfunction,2009-11-10 00:00:00+00:00,37,Coronary Artery Disease,Coronary Artery Disease,@DISEASE_Coronary_Artery_Disease,exact,True,,0,4,0
Atorvastatin,NCT01442428,Paradoxical Tuberculosis Immune Reconstitution Inflammatory Syndrome (TB-IRIS) Treatment Trial,WITHDRAWN,PHASE2; PHASE3,Immune Reconstitution Inflammatory Syndrome; Immune Reconstitution Syndrome; Tuberculosis; HIV-infection/Aids,2011-08-30 00:00:00+00:00,43,Immune Reconstitution Inflammatory Syndrome,Immune Reconstitution Inflammatory Syndrome,@DISEASE_Immune_Reconstitution_Inflammatory_Syndrome,exact,True,,0,1,0
Atorvastatin,NCT01442428,Paradoxical Tuberculosis Immune Reconstitution Inflammatory Syndrome (TB-IRIS) Treatment Trial,WITHDRAWN,PHASE2; PHASE3,Immune Reconstitution Inflammatory Syndrome; Immune Reconstitution Syndrome; Tuberculosis; HIV-infection/Aids,2011-08-30 00:00:00+00:00,43,Tuberculosis,Tuberculosis,@DISEASE_Tuberculosis,exact,True,,0,5,0
Atorvastatin,NCT01105975,A Study of LY2484595 in Patients With High LDL-C or Low HDL-C,COMPLETED,PHASE2,Dyslipidemia,2010-04-15 00:00:00+00:00,44,Dyslipidemia,Dyslipidemias,@DISEASE_Dyslipidemias,token_set_exact,True,,0,1,0
Atorvastatin,NCT01187992,Full-dose Atorvastatin After Acute Coronary Syndrome (ACS) in Non-revascularisable Coronary Artery Disease,TERMINATED,PHASE3,Acute Coronary Syndrome; Coronary Artery Disease,2010-08-24 00:00:00+00:00,45,Acute Coronary Syndrome,Acute Coronary Syndrome,@DISEASE_Acute_Coronary_Syndrome,exact,True,,0,2,0
Atorvastatin,NCT01187992,Full-dose Atorvastatin After Acute Coronary Syndrome (ACS) in Non-revascularisable Coronary Artery Disease,TERMINATED,PHASE3,Acute Coronary Syndrome; Coronary Artery Disease,2010-08-24 00:00:00+00:00,45,Coronary Artery Disease,Coronary Artery Disease,@DISEASE_Coronary_Artery_Disease,exact,True,,0,4,0
