"drug","disease","pmid","positive","pub_year","pub_types"
"Atorvastatin","Hypertension","35730409",TRUE,"2022","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Atorvastatin","Kidney Failure, Chronic","35585282",TRUE,"2022","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Acute Coronary Syndrome","35543701",TRUE,"2022","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Atorvastatin","Cardiovascular Diseases","35512252",TRUE,"2022","Randomized Controlled Trial; Multicenter Study; Journal Article; Research Support, Non-U.S. Gov't"
"Atorvastatin","Heart Disease Risk Factors","35512252",TRUE,"2022","Randomized Controlled Trial; Multicenter Study; Journal Article; Research Support, Non-U.S. Gov't"
"Atorvastatin","Coronary Artery Disease","35500098",TRUE,"2022","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Diabetes Mellitus, Type 2","35291435",TRUE,"2022","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Atorvastatin","Migraine Disorders","35037597",TRUE,"2022","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Sleep Initiation and Maintenance Disorders","35037597",TRUE,"2022","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","41263457",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Polycystic Ovary Syndrome","41257673",TRUE,"2025","Journal Article; Randomized Controlled Trial; Comparative Study"
"Metformin","Bipolar Disorder","41233082",TRUE,"2025","Journal Article; Pragmatic Clinical Trial; Randomized Controlled Trial; Multicenter Study"
"Metformin","Mood Disorders","41233082",TRUE,"2025","Journal Article; Pragmatic Clinical Trial; Randomized Controlled Trial; Multicenter Study"
"Metformin","Diabetes Mellitus, Type 2","41161770",TRUE,"2025","Journal Article; Clinical Trial, Phase IV; Comparative Study"
"Metformin","Diabetes Mellitus, Type 2","41139257",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Sleep Wake Disorders","41139257",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","41110348",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","41097174",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","41087651",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","41083403",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study; English Abstract"
"Metformin","Diabetes Mellitus, Type 2","41020378",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40986645",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Cardiovascular Diseases","40986645",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40977363",TRUE,"2025","Journal Article; Randomized Controlled Trial; Clinical Trial, Phase II; Clinical Trial, Phase III; Multicenter Study"
"Metformin","Diabetes Mellitus, Type 2","40975112",TRUE,"2025","Journal Article; Clinical Trial, Phase III; Randomized Controlled Trial; Multicenter Study"
"Metformin","Diabetes Mellitus, Type 2","40970814",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40926359",TRUE,"2025","Journal Article; Randomized Controlled Trial; Clinical Trial, Phase III; Multicenter Study"
"Metformin","Diabetes Mellitus, Type 1","40916351",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study"
"Metformin","Diabetes Mellitus, Type 2","40882001",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40859882",TRUE,"2025","Journal Article; Multicenter Study; Clinical Trial, Phase II; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40857175",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40854315",TRUE,"2025","Journal Article; Multicenter Study; Randomized Controlled Trial; Clinical Trial, Phase III"
"Metformin","Diabetes Mellitus, Type 2","40851544",TRUE,"2025","Journal Article; Clinical Trial"
"Metformin","Non-alcoholic Fatty Liver Disease","40851544",TRUE,"2025","Journal Article; Clinical Trial"
"Metformin","Diabetes Mellitus, Type 2","40842343",TRUE,"2025","Journal Article; Randomized Controlled Trial; Clinical Trial, Phase III; Multicenter Study"
"Metformin","Diabetes Mellitus, Type 2","40828352",TRUE,"2025","Journal Article; Randomized Controlled Trial; Clinical Trial, Phase III; Comparative Study"
"Metformin","Diabetes Mellitus, Type 2","40815384",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40808546",TRUE,"2025","Journal Article; Multicenter Study; Randomized Controlled Trial; Clinical Trial, Phase IV"
"Metformin","Polycystic Ovary Syndrome","40785326",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40767317",TRUE,"2025","Journal Article; Randomized Controlled Trial; Clinical Trial, Phase II"
"Metformin","Diabetes Mellitus, Type 2","40767101",TRUE,"2025","Journal Article; Randomized Controlled Trial; Clinical Trial, Phase I"
"Metformin","Diabetes Mellitus, Type 2","40762794",TRUE,"2025","Journal Article; Randomized Controlled Trial; Comparative Study"
"Metformin","Diabetes Mellitus, Type 2","40751289",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40745313",TRUE,"2025","Journal Article; Randomized Controlled Trial; Comparative Study"
"Metformin","Diabetes Mellitus, Type 2","40726438",TRUE,"2025","Journal Article; Randomized Controlled Trial; Clinical Trial, Phase III; Multicenter Study"
"Metformin","Polycystic Ovary Syndrome","40713699",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Metabolic Syndrome","40711960",TRUE,"2025","Journal Article; Randomized Controlled Trial; Clinical Trial, Phase III; Multicenter Study"
"Metformin","Diabetes Mellitus, Type 2","40675492",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Polycystic Ovary Syndrome","40640743",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40563136",TRUE,"2025","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Metformin","Diabetes, Gestational","40544417",TRUE,"2025","Journal Article; Observational Study; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40541257",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes, Gestational","40448705",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40425403",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40424051",TRUE,"2025","Clinical Trial, Phase III; Journal Article; Pragmatic Clinical Trial"
"Metformin","Diabetes Mellitus, Type 2","40388190",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study; Comment"
"Metformin","Cancer Survivors","40374694",TRUE,"2025","Journal Article; Randomized Controlled Trial; Clinical Trial, Phase II"
"Metformin","Diabetes Mellitus","40353629",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Heart Failure","40331651",TRUE,"2025","Journal Article; Randomized Controlled Trial; English Abstract"
"Metformin","Chronic Disease","40331651",TRUE,"2025","Journal Article; Randomized Controlled Trial; English Abstract"
"Metformin","Diabetes Mellitus, Type 2","40326063",TRUE,"2025","Journal Article; Randomized Controlled Trial; Comparative Study"
"Metformin","Diabetes Mellitus, Type 2","40319921",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Disease Progression","40311839",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40311647",TRUE,"2025","Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural"
"Metformin","Diabetes Mellitus, Type 2","40302627",TRUE,"2025","Journal Article; Randomized Controlled Trial; Clinical Trial, Phase III; Multicenter Study"
"Metformin","Diabetes Mellitus, Type 2","40288809",TRUE,"2025","Clinical Trial, Phase IV; Comparative Study; Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40279144",TRUE,"2025","Journal Article; Randomized Controlled Trial; Clinical Trial, Phase II"
"Metformin","Pain Measurement","40274279",TRUE,"2025","Clinical Trial, Phase III; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Metformin","Cardiovascular Diseases","40267365",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40267365",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40265376",TRUE,"2025","Journal Article; Validation Study; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40243198",TRUE,"2025","Clinical Trial, Phase III; Journal Article; Randomized Controlled Trial"
"Metformin","Hypertension","40195776",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40178116",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study"
"Metformin","Diabetes, Gestational","40176581",TRUE,"2025","Comparative Study; Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes, Gestational","40173275",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40154887",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Polycystic Ovary Syndrome","40105433",TRUE,"2025","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Metformin","Diabetes Mellitus, Type 2","40098912",TRUE,"2025","Journal Article; Randomized Controlled Trial; Comparative Study"
"Metformin","Diabetes Mellitus, Type 2","40077667",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40049655",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","40020647",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","39998948",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","39950245",TRUE,"2025","Journal Article; Randomized Controlled Trial; Clinical Trial, Phase III"
"Metformin","Diabetes Mellitus, Type 2","39943692",TRUE,"2025","Clinical Trial, Phase I; Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","39934050",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","39858442",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Polycystic Ovary Syndrome","39847053",TRUE,"2025","Journal Article; Comparative Study; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","39806556",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study; Comparative Study"
"Metformin","Non-alcoholic Fatty Liver Disease","39806556",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study; Comparative Study"
"Metformin","Diabetes Mellitus, Type 2","39792745",TRUE,"2025","Equivalence Trial; Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","39762971",TRUE,"2025","Journal Article; Randomized Controlled Trial; Comparative Study"
"Metformin","Diabetes Mellitus, Type 2","39761379",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes, Gestational","39761054",TRUE,"2025","Comparative Study; Equivalence Trial; Journal Article; Multicenter Study; Research Support, Non-U.S. Gov't; Comment"
"Metformin","Polycystic Ovary Syndrome","39748269",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","39744353",TRUE,"2024","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","39726204",TRUE,"2025","Journal Article; Multicenter Study; Randomized Controlled Trial; Comparative Study"
"Metformin","Diabetes Mellitus, Type 2","39723797",TRUE,"2025","Clinical Trial, Phase III; Journal Article"
"Metformin","Gastrointestinal Diseases","39723797",TRUE,"2025","Clinical Trial, Phase III; Journal Article"
"Metformin","Diabetes Mellitus, Type 2","39706874",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","39706688",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","White Coat Hypertension","39706688",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","39697157",TRUE,"2024","Journal Article; Comparative Study; Randomized Controlled Trial; English Abstract"
"Metformin","Diabetes Mellitus, Type 2","39687954",TRUE,"2024","Journal Article; Randomized Controlled Trial; Comparative Study"
"Metformin","Autism Spectrum Disorder","39676223",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","39673064",TRUE,"2024","Journal Article; Randomized Controlled Trial; Comparative Study"
"Metformin","Metabolic Syndrome","39641916",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","39641916",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Cardiovascular Diseases","39641916",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Metformin","Diabetes Mellitus, Type 2","39636567",TRUE,"2025","Journal Article; Randomized Controlled Trial; Multicenter Study; Comparative Study"
"Levothyroxine",NA,NA,FALSE,NA,NA
"Lisinopril","Hypertension","39441603",TRUE,"2024","Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural"
"Lisinopril","Heart Failure","39243877",TRUE,"2024","Journal Article; Randomized Controlled Trial; Multicenter Study"
"Lisinopril","Hypertension","39243877",TRUE,"2024","Journal Article; Randomized Controlled Trial; Multicenter Study"
"Lisinopril","Coronary Disease","39243877",TRUE,"2024","Journal Article; Randomized Controlled Trial; Multicenter Study"
"Lisinopril","Hypertension","37039792",TRUE,"2023","Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't"
"Lisinopril","Hypertension, Pregnancy-Induced","36787814",TRUE,"2023","Randomized Controlled Trial; Journal Article"
"Lisinopril","Hypertension","36787814",TRUE,"2023","Randomized Controlled Trial; Journal Article"
"Lisinopril","Hypertension","36361252",TRUE,"2022","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Lisinopril","Hypertension","35916128",TRUE,"2022","Clinical Trial; Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural"
"Lisinopril","Hypertension","34793552",TRUE,"2021","Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, N.I.H., Extramural"
"Lisinopril","Diabetes Mellitus, Type 2","34282598",TRUE,"2021","Journal Article; Randomized Controlled Trial"
"Lisinopril","Hypertension","34282598",TRUE,"2021","Journal Article; Randomized Controlled Trial"
"Lisinopril","Hypertension","32761160",TRUE,"2020","Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural"
"Lisinopril","Stroke Volume","31171092",TRUE,"2019","Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
"Lisinopril","Cardiovascular Diseases","31094482",TRUE,"2019","Journal Article; Randomized Controlled Trial"
"Lisinopril","Diabetes Mellitus, Type 2","30968335",TRUE,"2019","Clinical Trial, Phase I; Journal Article; Research Support, Non-U.S. Gov't"
"Lisinopril","Heart Failure","30943832",TRUE,"2019","Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
"Lisinopril","Hypertension","30943832",TRUE,"2019","Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
"Lisinopril","Hypertension","30842257",TRUE,"2019","Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural"
"Lisinopril","Diabetes Mellitus, Type 2","30618388",TRUE,"2018","Clinical Trial; Journal Article"
"Lisinopril","Hypertension","30618388",TRUE,"2018","Clinical Trial; Journal Article"
"Lisinopril","Diabetes Mellitus","30590387",TRUE,"2019","Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
"Lisinopril","Hypertension","30590387",TRUE,"2019","Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
"Lisinopril","Coronary Disease","30126559",TRUE,"2018","Journal Article; Multicenter Study; Randomized Controlled Trial"
"Lisinopril","Heart Failure","30126559",TRUE,"2018","Journal Article; Multicenter Study; Randomized Controlled Trial"
"Lisinopril","Hypertension","30126559",TRUE,"2018","Journal Article; Multicenter Study; Randomized Controlled Trial"
"Lisinopril","Stroke","30126559",TRUE,"2018","Journal Article; Multicenter Study; Randomized Controlled Trial"
"Lisinopril","Hypertension","30092411",TRUE,"2018","Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Lisinopril","Hypertension","29212812",TRUE,"2017","Journal Article; Multicenter Study; Randomized Controlled Trial"
"Lisinopril","Stroke Volume","28577685",TRUE,"2017","Clinical Trial, Phase II; Journal Article; Multicenter Study; Randomized Controlled Trial"
"Lisinopril","Cardiovascular Diseases","28559399",TRUE,"2017","Journal Article; Randomized Controlled Trial"
"Lisinopril","Hypertension","28559399",TRUE,"2017","Journal Article; Randomized Controlled Trial"
"Lisinopril","Cardiovascular Diseases","28436727",TRUE,"2017","Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Lisinopril","Disease Progression","28430947",TRUE,"2017","Journal Article; Randomized Controlled Trial"
"Lisinopril","Hypertension","28430947",TRUE,"2017","Journal Article; Randomized Controlled Trial"
"Lisinopril","Cardiovascular Diseases","28253804",TRUE,"2017","Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial"
"Lisinopril","Hypertension","28253804",TRUE,"2017","Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial"
"Lisinopril","Cardiovascular Diseases","27984005",TRUE,"2017","Journal Article; Randomized Controlled Trial"
"Lisinopril","Hypertension","27984005",TRUE,"2017","Journal Article; Randomized Controlled Trial"
