drug,nct_id,title,status,phase,disease,first_submit,_row_id,disease_raw,disease_resolved_label,disease_resolved_id,match_tier,tie_top_score,extra_tokens,missing_tokens,n_candidates_returned,shared_tokens_best,flag_too_specific,accept_any_candidate,accept_min_overlap
Atorvastatin,NCT00653965,Treatment of Hypercholesterolaemia in Hispanic Subjects (STARSHIP),COMPLETED,PHASE3,Hypercholesterolemia; Dyslipidaemia,2008-03-26 00:00:00+00:00,7,Dyslipidaemia,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT03358017,Neoadjuvant Zoledronate and Atorvastatin in Triple Negative Breast Cancer,COMPLETED,PHASE2,Triple Negative Breast Cancer,2017-11-13 00:00:00+00:00,8,Triple Negative Breast Cancer,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05586750,Statins in Reducing Events in the Elderly Mind (STAREE-Mind) Imaging Substudy,ACTIVE_NOT_RECRUITING,PHASE4,"Dementia, Mixed; Dementia, Vascular; Dementia of Alzheimer Type; Cognitive Decline; White Matter Hyperintensity; Aging; Neuro-Degenerative Disease",2022-10-10 00:00:00+00:00,9,"Dementia, Mixed",Mixed Dementias,@DISEASE_Mixed_Dementias,,False,0,0,0,0,False,True,False
Atorvastatin,NCT05586750,Statins in Reducing Events in the Elderly Mind (STAREE-Mind) Imaging Substudy,ACTIVE_NOT_RECRUITING,PHASE4,"Dementia, Mixed; Dementia, Vascular; Dementia of Alzheimer Type; Cognitive Decline; White Matter Hyperintensity; Aging; Neuro-Degenerative Disease",2022-10-10 00:00:00+00:00,9,"Dementia, Vascular",Dementia Vascular,@DISEASE_Dementia_Vascular,,False,0,0,0,0,False,True,False
Atorvastatin,NCT05586750,Statins in Reducing Events in the Elderly Mind (STAREE-Mind) Imaging Substudy,ACTIVE_NOT_RECRUITING,PHASE4,"Dementia, Mixed; Dementia, Vascular; Dementia of Alzheimer Type; Cognitive Decline; White Matter Hyperintensity; Aging; Neuro-Degenerative Disease",2022-10-10 00:00:00+00:00,9,Dementia of Alzheimer Type,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05586750,Statins in Reducing Events in the Elderly Mind (STAREE-Mind) Imaging Substudy,ACTIVE_NOT_RECRUITING,PHASE4,"Dementia, Mixed; Dementia, Vascular; Dementia of Alzheimer Type; Cognitive Decline; White Matter Hyperintensity; Aging; Neuro-Degenerative Disease",2022-10-10 00:00:00+00:00,9,Cognitive Decline,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05586750,Statins in Reducing Events in the Elderly Mind (STAREE-Mind) Imaging Substudy,ACTIVE_NOT_RECRUITING,PHASE4,"Dementia, Mixed; Dementia, Vascular; Dementia of Alzheimer Type; Cognitive Decline; White Matter Hyperintensity; Aging; Neuro-Degenerative Disease",2022-10-10 00:00:00+00:00,9,White Matter Hyperintensity,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05586750,Statins in Reducing Events in the Elderly Mind (STAREE-Mind) Imaging Substudy,ACTIVE_NOT_RECRUITING,PHASE4,"Dementia, Mixed; Dementia, Vascular; Dementia of Alzheimer Type; Cognitive Decline; White Matter Hyperintensity; Aging; Neuro-Degenerative Disease",2022-10-10 00:00:00+00:00,9,Aging,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05586750,Statins in Reducing Events in the Elderly Mind (STAREE-Mind) Imaging Substudy,ACTIVE_NOT_RECRUITING,PHASE4,"Dementia, Mixed; Dementia, Vascular; Dementia of Alzheimer Type; Cognitive Decline; White Matter Hyperintensity; Aging; Neuro-Degenerative Disease",2022-10-10 00:00:00+00:00,9,Neuro-Degenerative Disease,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT01720719,Atorvastatin Versus Vitamin E in Treatment of Non-alcoholic Fatty Liver Disease,UNKNOWN,PHASE4,Fatty Liver; Dyslipidemias; Diabetes Mellitus,2012-10-31 00:00:00+00:00,10,Fatty Liver,Fatty Liver,@DISEASE_Fatty_Liver,,False,0,0,0,0,False,True,False
Atorvastatin,NCT01720719,Atorvastatin Versus Vitamin E in Treatment of Non-alcoholic Fatty Liver Disease,UNKNOWN,PHASE4,Fatty Liver; Dyslipidemias; Diabetes Mellitus,2012-10-31 00:00:00+00:00,10,Dyslipidemias,Dyslipidemias,@DISEASE_Dyslipidemias,,False,0,0,0,0,False,True,False
Atorvastatin,NCT01720719,Atorvastatin Versus Vitamin E in Treatment of Non-alcoholic Fatty Liver Disease,UNKNOWN,PHASE4,Fatty Liver; Dyslipidemias; Diabetes Mellitus,2012-10-31 00:00:00+00:00,10,Diabetes Mellitus,Diabetes Mellitus,@DISEASE_Diabetes_Mellitus,,False,0,0,0,0,False,True,False
Atorvastatin,NCT02201381,"Study of the Safety, Tolerability and Efficacy of Metabolic Combination Treatments on Cancer",WITHDRAWN,PHASE3,Cancer; Overall Survival,2014-07-22 00:00:00+00:00,11,Cancer,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT02201381,"Study of the Safety, Tolerability and Efficacy of Metabolic Combination Treatments on Cancer",WITHDRAWN,PHASE3,Cancer; Overall Survival,2014-07-22 00:00:00+00:00,11,Overall Survival,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT02197065,Pilot Study of Atorvastatin for Orthopedic Surgery Patients,COMPLETED,PHASE2,Hip Fracture; Myocardial Ischemia; Inflammation,2014-07-21 00:00:00+00:00,12,Hip Fracture,Hip Fractures,@DISEASE_Hip_Fractures,,False,0,0,0,0,False,True,False
Atorvastatin,NCT02197065,Pilot Study of Atorvastatin for Orthopedic Surgery Patients,COMPLETED,PHASE2,Hip Fracture; Myocardial Ischemia; Inflammation,2014-07-21 00:00:00+00:00,12,Myocardial Ischemia,Myocardial Ischemia,@DISEASE_Myocardial_Ischemia,,False,0,0,0,0,False,True,False
Atorvastatin,NCT02197065,Pilot Study of Atorvastatin for Orthopedic Surgery Patients,COMPLETED,PHASE2,Hip Fracture; Myocardial Ischemia; Inflammation,2014-07-21 00:00:00+00:00,12,Inflammation,Inflammation,@DISEASE_Inflammation,,False,0,0,0,0,False,True,False
Atorvastatin,NCT02030054,Pharmacodynamic Comparison of Rosuvastatin Versus Atorvastatin on Platelet Reactivity in Patients With Coronary Artery Disease on Dual Antiplatelet Therapy With New P2Y12 Inhibitors (Trial gRANADa),UNKNOWN,PHASE4,Coronary Artery Disease,2014-01-06 00:00:00+00:00,13,Coronary Artery Disease,Coronary Artery Disease,@DISEASE_Coronary_Artery_Disease,,False,0,0,0,0,False,True,False
Atorvastatin,NCT00791648,Short-term Atorvastatin's Effect on Acute Kidney Injury Following Cardiac Surgery,COMPLETED,,Acute Kidney Injury; Post-Operative Delirium; Icu Delirium; Acute Renal Failure; Delirium,2008-11-12 00:00:00+00:00,14,Acute Kidney Injury,Acute Kidney Injury,@DISEASE_Acute_Kidney_Injury,,False,0,0,0,0,False,True,False
Atorvastatin,NCT00791648,Short-term Atorvastatin's Effect on Acute Kidney Injury Following Cardiac Surgery,COMPLETED,,Acute Kidney Injury; Post-Operative Delirium; Icu Delirium; Acute Renal Failure; Delirium,2008-11-12 00:00:00+00:00,14,Post-Operative Delirium,,,,False,0,0,0,0,False,False,False
