drug,nct_id,title,status,phase,disease,first_submit
Ibuprofen,NCT01988298,Nonsteroidal Antiinflammatory Drugs in Women With Postpartum Pre-eclampsia,COMPLETED,PHASE2; PHASE3,Hypertension,2013-10-31 00:00:00+00:00
Ibuprofen,NCT03771755,Ibuprofen IV vs Acetaminophen IV for the Treatment of Pain Following Orthopaedic Low Extremity Surgery,COMPLETED,,Pain Postoperative,2018-12-07 00:00:00+00:00
Ibuprofen,NCT04752150,ESPB and RIB for Pain Management Following Mastectomy Surgery,COMPLETED,,Breast Neoplasms,2021-02-01 00:00:00+00:00
Ibuprofen,NCT03622489,Comparing Protocols for Analgesia Following Elective Cesarean Section,UNKNOWN,PHASE4,Pain Postoperative,2018-08-05 00:00:00+00:00
Ibuprofen,NCT05048914,Migraine Abortive Treatment,UNKNOWN,,Migraine Disorders,2021-09-09 00:00:00+00:00
Ibuprofen,NCT01064726,A Study To Explore The Effect On Inflammatory Markers After Nasal Allergen Challenge In Subjects With Seasonal Allergic Rhinitis And The Effect Of A Single Dose Of Ibuprofen Or Fluticasone Propionate On The Allergen Response.,COMPLETED,PHASE1,Rhinitis Allergic,2009-09-21 00:00:00+00:00
Ibuprofen,NCT01097902,Study of Experimental Models of Pain and Inflammation.,COMPLETED,PHASE1,Pain; Inflammation,2010-03-31 00:00:00+00:00
Ibuprofen,NCT00225732,Trial of Caldolor for Treatment of Pain in Post-Operative Adult Patients,COMPLETED,PHASE3,Pain,2005-09-22 00:00:00+00:00
Ibuprofen,NCT01293968,"Therapeutic Effects of ""Ibuprofen, Diphenhydramine and Aluminium MgS"" on Recurrent Aphthous Stomatitis",COMPLETED,PHASE2,Stomatitis Aphthous,2011-02-10 00:00:00+00:00
Ibuprofen,NCT04947566,Comparison of Efficacy of Naproxen Versus Ibuprofen,COMPLETED,PHASE4,Pain Postoperative,2021-06-24 00:00:00+00:00
Ibuprofen,NCT04119739,Pain Reduction Produced by Different Treatments in Carpal Tunnel Syndrome,COMPLETED,PHASE4,Carpal Tunnel Syndrome,2019-10-06 00:00:00+00:00
Ibuprofen,NCT01787448,RIPT of Ibuprofen Topical Gel,COMPLETED,PHASE1,Pain,2012-12-05 00:00:00+00:00
Ibuprofen,NCT07024199,Comparison of the Effectiveness of Paracetamol With Ibuprofen or Paracetamol With Metamizole in Treating Pain in Acute Pancreatitis in Children,RECRUITING,PHASE4,Acute Pain; Pancreatic Diseases; Pancreatitis,2025-02-28 00:00:00+00:00
Ibuprofen,NCT05722002,Comparing Analgesic Regimen Effectiveness and Safety for Surgery (CARES) Trial,RECRUITING,PHASE4,Pain Postoperative,2023-01-30 00:00:00+00:00
Ibuprofen,NCT03722238,Actual Use and Compliance Study Of Ibuprofen 600 Mg Immediate Release/Extended Release Tablets In At-Risk OTC Consumers,TERMINATED,PHASE3,Pain,2018-10-25 00:00:00+00:00
