disease_a,disease_b,shared_drugs
CT_UNMAPPED::coronary heart disease,CT_UNMAPPED::drug interaction,9
CT_UNMAPPED::diabetes,CT_UNMAPPED::drug interactions,9
CT_UNMAPPED::diabetes,CT_UNMAPPED::percutaneous coronary intervention,9
CT_UNMAPPED::drug interaction,CT_UNMAPPED::prostate cancer,9
CT_UNMAPPED::drug interaction,CT_UNMAPPED::sickle cell disease,9
CT_UNMAPPED::drug interactions,CT_UNMAPPED::type 2 diabetes,9
CT_UNMAPPED::metastatic breast cancer,CT_UNMAPPED::prostate cancer,9
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::oxidative stress,9
CT_UNMAPPED::sickle cell disease,CT_UNMAPPED::type 2 diabetes,9
CT_UNMAPPED::cirrhosis,CT_UNMAPPED::migraine,9
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::lung cancer,9
CT_UNMAPPED::alcohol use disorder,CT_UNMAPPED::type 2 diabetes,9
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::insomnia,9
CT_UNMAPPED::bipolar depression,CT_UNMAPPED::cancer,9
CT_UNMAPPED::breast cancer,CT_UNMAPPED::magnetic resonance imaging,9
CT_UNMAPPED::breast cancer,CT_UNMAPPED::sleep disorders,9
CT_UNMAPPED::cancer,CT_UNMAPPED::magnetic resonance imaging,9
CT_UNMAPPED::cancer,CT_UNMAPPED::pregnancy related,9
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::pancreatic cancer,9
CT_UNMAPPED::depression,CT_UNMAPPED::opioid use,9
CT_UNMAPPED::esophageal cancer,CT_UNMAPPED::lung cancer,9
CT_UNMAPPED::gastric cancer,CT_UNMAPPED::lung cancer,9
CT_UNMAPPED::hiv,CT_UNMAPPED::pancreatic cancer,9
CT_UNMAPPED::hiv,CT_UNMAPPED::pregnancy related,9
CT_UNMAPPED::major depression,CT_UNMAPPED::suicidal ideation,9
CT_UNMAPPED::suicidal ideation,CT_UNMAPPED::treatment resistant depression,9
CT_UNMAPPED::aging,CT_UNMAPPED::cirrhosis,9
CT_UNMAPPED::aging,CT_UNMAPPED::congenital heart disease,9
CT_UNMAPPED::aging,CT_UNMAPPED::kidney disease,9
CT_UNMAPPED::breast cancer,CT_UNMAPPED::congenital heart disease,9
CT_UNMAPPED::breast cancer,CT_UNMAPPED::covid,9
CT_UNMAPPED::chronic heart failure,CT_UNMAPPED::covid,9
CT_UNMAPPED::congenital heart disease,CT_UNMAPPED::heart failure with preserved ejection fraction,9
CT_UNMAPPED::heart failure with preserved ejection fraction,CT_UNMAPPED::heart failure with reduced ejection fraction,9
CT_UNMAPPED::analgesia,CT_UNMAPPED::cancer,9
CT_UNMAPPED::covid19,CT_UNMAPPED::depression,9
CT_UNMAPPED::depression,CT_UNMAPPED::surgery,9
CT_UNMAPPED::breast cancer,CT_UNMAPPED::overactive bladder,9
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::depression,9
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::end stage renal disease,9
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::mild cognitive impairment,9
CT_UNMAPPED::covid19,CT_UNMAPPED::crohn s disease,9
CT_UNMAPPED::crohn s disease,CT_UNMAPPED::diabetes,9
CT_UNMAPPED::type 2 diabetes,CT_UNMAPPED::type2 diabetes mellitus,9
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::menopause,9
CT_UNMAPPED::autism,CT_UNMAPPED::breast cancer,9
CT_UNMAPPED::autism,CT_UNMAPPED::cancer,9
CT_UNMAPPED::cancer,CT_UNMAPPED::parkinson s disease,9
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::generalized anxiety disorder,9
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::parkinson s disease,9
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::ptsd,9
CT_UNMAPPED::hiv,CT_UNMAPPED::menopause,9
CT_UNMAPPED::insomnia,CT_UNMAPPED::menopause,9
CT_UNMAPPED::magnetic resonance imaging,CT_UNMAPPED::posttraumatic stress disorder,9
CT_UNMAPPED::menopause,CT_UNMAPPED::psychosomatic disorders,9
CT_UNMAPPED::menopause,CT_UNMAPPED::treatment resistant depression,9
CT_UNMAPPED::parkinson s disease,CT_UNMAPPED::ptsd,9
CT_UNMAPPED::posttraumatic stress disorder,CT_UNMAPPED::pregnancy,9
CT_UNMAPPED::posttraumatic stress disorder,CT_UNMAPPED::treatment resistant depression,9
CT_UNMAPPED::depression,CT_UNMAPPED::neuropathic pain,9
CT_UNMAPPED::breast cancer,CT_UNMAPPED::prediabetes,9
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::parkinson s disease,9
CT_UNMAPPED::nafld,CT_UNMAPPED::type 2 diabetes,9
CT_UNMAPPED::prediabetes,CT_UNMAPPED::prostate cancer,9
CT_UNMAPPED::depression,CT_UNMAPPED::sleep,9
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::type2 diabetes,9
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::type2 diabetes,9
CT_UNMAPPED::diabetes,CT_UNMAPPED::t2dm,9
CT_UNMAPPED::diabetes,CT_UNMAPPED::type 2 diabetes mellitus t2dm,9
CT_UNMAPPED::t2dm,CT_UNMAPPED::type 2 diabetes,9
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::migraine,9
CT_UNMAPPED::diabetes,CT_UNMAPPED::migraine,9
CT_UNMAPPED::diabetes,CT_UNMAPPED::metabolic disease,9
CT_UNMAPPED::metabolic disease,CT_UNMAPPED::type 2 diabetes,9
CT_UNMAPPED::alcohol use disorder,CT_UNMAPPED::prostate cancer,9
CT_UNMAPPED::drug drug interaction,CT_UNMAPPED::prostate cancer,9
CT_UNMAPPED::cancer,CT_UNMAPPED::solid tumors,9
CT_UNMAPPED::breast cancer,CT_UNMAPPED::solid tumors,9
CT_UNMAPPED::endometrial cancer,CT_UNMAPPED::pregnancy,9
CT_UNMAPPED::cancer,CT_UNMAPPED::drug drug interaction,9
CT_UNMAPPED::diabetes,CT_UNMAPPED::obese,9
CT_UNMAPPED::analgesia,CT_UNMAPPED::cesarean section,8
CT_UNMAPPED::analgesia,CT_UNMAPPED::rotator cuff tear,8
CT_UNMAPPED::bleeding,CT_UNMAPPED::surgery,8
CT_UNMAPPED::breast cancer,CT_UNMAPPED::kidney disease,8
CT_UNMAPPED::breast cancer,CT_UNMAPPED::obese,8
CT_UNMAPPED::breast cancer,CT_UNMAPPED::osteoarthritis of the knee,8
CT_UNMAPPED::breast cancer,CT_UNMAPPED::overweight or obesity,8
CT_UNMAPPED::breast cancer,CT_UNMAPPED::pain post operative,8
CT_UNMAPPED::cesarean section,CT_UNMAPPED::surgery,8
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::drug interactions,8
CT_UNMAPPED::cirrhosis,CT_UNMAPPED::covid19,8
CT_UNMAPPED::cirrhosis,CT_UNMAPPED::sickle cell disease,8
CT_UNMAPPED::covid19,CT_UNMAPPED::post operative pain,8
CT_UNMAPPED::drug interactions,CT_UNMAPPED::post operative pain,8
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::insomnia,8
CT_UNMAPPED::impacted third molar tooth,CT_UNMAPPED::surgery,8
CT_UNMAPPED::kidney transplant,CT_UNMAPPED::kidney transplantation,8
CT_UNMAPPED::narcotic use,CT_UNMAPPED::rotator cuff tear,8
CT_UNMAPPED::narcotic use,CT_UNMAPPED::total knee arthroplasty,8
CT_UNMAPPED::obese,CT_UNMAPPED::sickle cell disease,8
CT_UNMAPPED::opioid use,CT_UNMAPPED::pain post operative,8
CT_UNMAPPED::pain management,CT_UNMAPPED::pain post operative,8
CT_UNMAPPED::pain post operative,CT_UNMAPPED::post operative pain,8
CT_UNMAPPED::pain post operative,CT_UNMAPPED::rotator cuff tear,8
CT_UNMAPPED::rotator cuff tear,CT_UNMAPPED::total knee arthroplasty,8
CT_UNMAPPED::sclerosis systemic,CT_UNMAPPED::surgery,8
CT_UNMAPPED::surgery,CT_UNMAPPED::total knee arthroplasty,8
CT_UNMAPPED::analgesia,CT_UNMAPPED::opioid dependence,8
CT_UNMAPPED::analgesia,CT_UNMAPPED::opioid use disorder,8
CT_UNMAPPED::bariatric surgery candidate,CT_UNMAPPED::pregnancy related,8
CT_UNMAPPED::breast cancer,CT_UNMAPPED::post operative pain control,8
CT_UNMAPPED::children,CT_UNMAPPED::prostate cancer,8
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::opioid use disorder,8
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::surgery complications,8
CT_UNMAPPED::drug interactions,CT_UNMAPPED::pregnancy related,8
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::pregnancy related,8
CT_UNMAPPED::migraine,CT_UNMAPPED::rotator cuff tear,8
CT_UNMAPPED::migraine,CT_UNMAPPED::sleep,8
CT_UNMAPPED::narcotic use,CT_UNMAPPED::neuropathic pain,8
CT_UNMAPPED::narcotic use,CT_UNMAPPED::prostate cancer,8
CT_UNMAPPED::opioid dependence,CT_UNMAPPED::opioid use,8
CT_UNMAPPED::opioid dependence,CT_UNMAPPED::opioid use disorder,8
CT_UNMAPPED::opioid dependence,CT_UNMAPPED::pain management,8
CT_UNMAPPED::opioid dependence,CT_UNMAPPED::post operative pain,8
CT_UNMAPPED::opioid use,CT_UNMAPPED::sleep,8
CT_UNMAPPED::opioid use disorder,CT_UNMAPPED::pain management,8
CT_UNMAPPED::opioid use disorder,CT_UNMAPPED::post operative pain,8
CT_UNMAPPED::opioid use disorder,CT_UNMAPPED::surgery,8
CT_UNMAPPED::pain management,CT_UNMAPPED::post operative pain control,8
CT_UNMAPPED::post operative pain,CT_UNMAPPED::sleep,8
CT_UNMAPPED::post operative pain control,CT_UNMAPPED::prostate cancer,8
CT_UNMAPPED::prostate cancer,CT_UNMAPPED::total knee arthroplasty,8
CT_UNMAPPED::sleep,CT_UNMAPPED::surgery,8
CT_UNMAPPED::analgesia,CT_UNMAPPED::unspecified adult solid tumor protocol specific,8
CT_UNMAPPED::breast cancer,CT_UNMAPPED::trauma,8
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::cognitive impairment,8
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::unspecified adult solid tumor protocol specific,8
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::neuropathic pain,8
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::pregnancy related,8
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::surgery,8
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::unspecified adult solid tumor protocol specific,8
CT_UNMAPPED::post operative pain,CT_UNMAPPED::unspecified adult solid tumor protocol specific,8
CT_UNMAPPED::cancer,CT_UNMAPPED::children,8
CT_UNMAPPED::cancer,CT_UNMAPPED::complications,8
CT_UNMAPPED::cancer,CT_UNMAPPED::kidney disease,8
CT_UNMAPPED::cancer,CT_UNMAPPED::multiple myeloma and plasma cell neoplasm,8
CT_UNMAPPED::end stage renal disease,CT_UNMAPPED::kidney transplantation,8
CT_UNMAPPED::hiv,CT_UNMAPPED::kidney disease,8
CT_UNMAPPED::intracerebral hemorrhage,CT_UNMAPPED::mild cognitive impairment,8
CT_UNMAPPED::kidney disease,CT_UNMAPPED::prostate cancer,8
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::ovarian cancer,8
CT_UNMAPPED::multiple myeloma and plasma cell neoplasm,CT_UNMAPPED::prostate cancer,8
CT_UNMAPPED::congestive heart failure,CT_UNMAPPED::covid19,8
CT_UNMAPPED::copd,CT_UNMAPPED::covid19,8
CT_UNMAPPED::depression,CT_UNMAPPED::esophageal cancer,8
CT_UNMAPPED::depression,CT_UNMAPPED::sickle cell disease,8
CT_UNMAPPED::end stage renal disease,CT_UNMAPPED::sickle cell disease,8
CT_UNMAPPED::hiv,CT_UNMAPPED::sickle cell disease,8
CT_UNMAPPED::ovarian cancer,CT_UNMAPPED::sickle cell disease,8
CT_UNMAPPED::blood pressure,CT_UNMAPPED::chronic heart failure,8
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::ischemic heart disease,8
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::ovarian cancer,8
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::prediabetes,8
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::schizoaffective disorder,8
CT_UNMAPPED::congestive heart failure,CT_UNMAPPED::heart failure congestive,8
CT_UNMAPPED::kidney disease,CT_UNMAPPED::type 1 diabetes,8
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::migraine,8
CT_UNMAPPED::brain tumors,CT_UNMAPPED::breast cancer,8
CT_UNMAPPED::brain tumors,CT_UNMAPPED::psychosomatic disorders,8
CT_UNMAPPED::breast cancer,CT_UNMAPPED::drug interaction potentiation,8
CT_UNMAPPED::breast cancer,CT_UNMAPPED::unipolar depression,8
CT_UNMAPPED::cancer,CT_UNMAPPED::drug interaction potentiation,8
CT_UNMAPPED::cancer,CT_UNMAPPED::migraine,8
CT_UNMAPPED::chronic migraine,CT_UNMAPPED::migraine,8
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::unipolar depression,8
CT_UNMAPPED::aging,CT_UNMAPPED::chronic heart failure,8
CT_UNMAPPED::aging,CT_UNMAPPED::drug drug interaction,8
CT_UNMAPPED::aging,CT_UNMAPPED::high blood pressure,8
CT_UNMAPPED::arterial hypertension,CT_UNMAPPED::type 2 diabetes,8
CT_UNMAPPED::blood pressure,CT_UNMAPPED::depression,8
CT_UNMAPPED::cerebrovascular accident,CT_UNMAPPED::chronic kidney disease,8
CT_UNMAPPED::cerebrovascular accident,CT_UNMAPPED::depression,8
CT_UNMAPPED::cerebrovascular accident,CT_UNMAPPED::diabetes,8
CT_UNMAPPED::cerebrovascular accident,CT_UNMAPPED::type 2 diabetes,8
CT_UNMAPPED::congestive heart failure,CT_UNMAPPED::heart failure with preserved ejection fraction,8
CT_UNMAPPED::diabetes,CT_UNMAPPED::insulin sensitivity,8
CT_UNMAPPED::diabetes,CT_UNMAPPED::metabolic syndrome x,8
CT_UNMAPPED::diabetes,CT_UNMAPPED::sleep apnea,8
CT_UNMAPPED::high blood pressure,CT_UNMAPPED::type 2 diabetes,8
CT_UNMAPPED::insulin sensitivity,CT_UNMAPPED::type 2 diabetes,8
CT_UNMAPPED::metabolic syndrome x,CT_UNMAPPED::type 2 diabetes,8
CT_UNMAPPED::bladder cancer,CT_UNMAPPED::chronic kidney disease,8
CT_UNMAPPED::bladder cancer,CT_UNMAPPED::surgery,8
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::colorectal cancer,8
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::preterm birth,8
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::surgery,8
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::community acquired pneumonia,8
CT_UNMAPPED::gastric cancer,CT_UNMAPPED::head and neck cancer,8
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::metastatic colorectal cancer,8
CT_UNMAPPED::covid19,CT_UNMAPPED::unspecified adult solid tumor protocol specific,8
CT_UNMAPPED::acute ischemic stroke,CT_UNMAPPED::acute myocardial infarction,8
CT_UNMAPPED::acute ischemic stroke,CT_UNMAPPED::end stage renal disease,8
CT_UNMAPPED::acute ischemic stroke,CT_UNMAPPED::stemi,8
CT_UNMAPPED::acute myocardial infarction,CT_UNMAPPED::stemi,8
CT_UNMAPPED::cancer,CT_UNMAPPED::hematopoietic and lymphoid cell neoplasm,8
CT_UNMAPPED::cancer,CT_UNMAPPED::sclerosis systemic,8
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::complications,8
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::kidney transplant,8
CT_UNMAPPED::cirrhosis,CT_UNMAPPED::mild cognitive impairment,8
CT_UNMAPPED::complications,CT_UNMAPPED::surgery,8
CT_UNMAPPED::congenital heart disease,CT_UNMAPPED::covid19,8
CT_UNMAPPED::corona virus infection,CT_UNMAPPED::covid19,8
CT_UNMAPPED::end stage renal disease,CT_UNMAPPED::surgery,8
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::surgery,8
CT_UNMAPPED::alcohol abuse,CT_UNMAPPED::alcohol dependence,8
CT_UNMAPPED::alcohol abuse,CT_UNMAPPED::depression,8
CT_UNMAPPED::alcohol abuse,CT_UNMAPPED::psychosomatic disorders,8
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::autism,8
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::major depressive disorder mdd,8
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::psychosis,8
CT_UNMAPPED::attention deficit hyperactivity disorder,CT_UNMAPPED::depression,8
CT_UNMAPPED::bipolar depression,CT_UNMAPPED::major depressive disorder mdd,8
CT_UNMAPPED::bipolar depression,CT_UNMAPPED::ptsd,8
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::ptsd,8
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::treatment resistant depression,8
CT_UNMAPPED::cognition,CT_UNMAPPED::psychosomatic disorders,8
CT_UNMAPPED::diabetes,CT_UNMAPPED::nafld,8
CT_UNMAPPED::magnetic resonance imaging,CT_UNMAPPED::major depressive disorder mdd,8
CT_UNMAPPED::major depression,CT_UNMAPPED::major depressive disorder mdd,8
CT_UNMAPPED::major depressive disorder mdd,CT_UNMAPPED::pregnancy,8
CT_UNMAPPED::major depressive disorder mdd,CT_UNMAPPED::ptsd,8
CT_UNMAPPED::major depressive disorder mdd,CT_UNMAPPED::treatment resistant depression,8
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::schizoaffective disorder,8
CT_UNMAPPED::pregnancy,CT_UNMAPPED::schizoaffective disorder,8
CT_UNMAPPED::psychosis,CT_UNMAPPED::psychosomatic disorders,8
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::diabetes type 2,8
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::surgery,8
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::percutaneous coronary intervention,8
CT_UNMAPPED::coronary heart disease,CT_UNMAPPED::peripheral artery disease,8
CT_UNMAPPED::covid,CT_UNMAPPED::hemodialysis,8
CT_UNMAPPED::covid19,CT_UNMAPPED::preeclampsia,8
CT_UNMAPPED::drug drug interaction,CT_UNMAPPED::end stage renal disease,8
CT_UNMAPPED::hiv 1 infection,CT_UNMAPPED::type 2 diabetes,8
CT_UNMAPPED::percutaneous coronary intervention,CT_UNMAPPED::type 2 diabetes,8
CT_UNMAPPED::preterm birth,CT_UNMAPPED::type 2 diabetes,8
CT_UNMAPPED::schizoaffective disorder,CT_UNMAPPED::type 2 diabetes,8
CT_UNMAPPED::acute myocardial infarction,CT_UNMAPPED::chronic kidney disease,8
CT_UNMAPPED::acute myocardial infarction,CT_UNMAPPED::heart failure with preserved ejection fraction,8
CT_UNMAPPED::covid,CT_UNMAPPED::heart failure with preserved ejection fraction,8
CT_UNMAPPED::aging,CT_UNMAPPED::drug interaction,8
CT_UNMAPPED::aging,CT_UNMAPPED::endothelial dysfunction,8
CT_UNMAPPED::aging,CT_UNMAPPED::menopause,8
CT_UNMAPPED::aging,CT_UNMAPPED::oxidative stress,8
CT_UNMAPPED::aging,CT_UNMAPPED::sickle cell disease,8
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::covid19,8
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::menopause,8
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::oxidative stress,8
CT_UNMAPPED::breast cancer,CT_UNMAPPED::cognitive decline,8
CT_UNMAPPED::breast cancer,CT_UNMAPPED::smoking,8
CT_UNMAPPED::cancer,CT_UNMAPPED::copd,8
CT_UNMAPPED::cancer,CT_UNMAPPED::metastatic breast cancer,8
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::sickle cell disease,8
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::sickle cell disease,8
CT_UNMAPPED::coronary heart disease,CT_UNMAPPED::mild cognitive impairment,8
CT_UNMAPPED::diabetes,CT_UNMAPPED::hiv 1 infection,8
CT_UNMAPPED::diabetes,CT_UNMAPPED::menopause,8
CT_UNMAPPED::oxidative stress,CT_UNMAPPED::prostate cancer,8
CT_UNMAPPED::complications,CT_UNMAPPED::pregnancy,8
CT_UNMAPPED::copd,CT_UNMAPPED::hiv,8
CT_UNMAPPED::covid,CT_UNMAPPED::hiv,8
CT_UNMAPPED::adhd,CT_UNMAPPED::breast cancer,8
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::pancreatic cancer,8
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::unipolar depression,8
