disease_a,disease_b,shared_drugs
CT_UNMAPPED::breast cancer,CT_UNMAPPED::gastric cancer,16
CT_UNMAPPED::breast cancer,CT_UNMAPPED::schizoaffective disorder,16
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::pregnancy,16
CT_UNMAPPED::breast cancer,CT_UNMAPPED::post operative pain,15
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::surgery,15
CT_UNMAPPED::opioid use,CT_UNMAPPED::post operative pain,15
CT_UNMAPPED::breast cancer,CT_UNMAPPED::pregnancy related,15
CT_UNMAPPED::drug interactions,CT_UNMAPPED::prostate cancer,15
CT_UNMAPPED::end stage renal disease,CT_UNMAPPED::mild cognitive impairment,15
CT_UNMAPPED::blood pressure,CT_UNMAPPED::end stage renal disease,15
CT_UNMAPPED::chronic heart failure,CT_UNMAPPED::diabetes,15
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::type 1 diabetes,15
CT_UNMAPPED::congestive heart failure,CT_UNMAPPED::diabetes,15
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::psychosomatic disorders,15
CT_UNMAPPED::depression,CT_UNMAPPED::generalized anxiety disorder,15
CT_UNMAPPED::depression,CT_UNMAPPED::migraine,15
CT_UNMAPPED::generalized anxiety disorder,CT_UNMAPPED::psychosomatic disorders,15
CT_UNMAPPED::breast cancer,CT_UNMAPPED::psychosomatic disorders,15
CT_UNMAPPED::major depression,CT_UNMAPPED::mild cognitive impairment,15
CT_UNMAPPED::major depression,CT_UNMAPPED::psychosomatic disorders,15
CT_UNMAPPED::blood pressure,CT_UNMAPPED::type 2 diabetes,15
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::hiv,15
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::depression,15
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::psychosomatic disorders,15
CT_UNMAPPED::depression,CT_UNMAPPED::ptsd,15
CT_UNMAPPED::coronary heart disease,CT_UNMAPPED::type 2 diabetes,15
CT_UNMAPPED::aging,CT_UNMAPPED::chronic kidney diseases,15
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::prostate cancer,15
CT_UNMAPPED::hiv,CT_UNMAPPED::pregnancy,15
CT_UNMAPPED::cancer,CT_UNMAPPED::chronic low back pain,15
CT_UNMAPPED::depression,CT_UNMAPPED::lung cancer,15
CT_UNMAPPED::aging,CT_UNMAPPED::end stage renal disease,15
CT_UNMAPPED::depression,CT_UNMAPPED::menopause,15
CT_UNMAPPED::prediabetes,CT_UNMAPPED::type 2 diabetes,15
CT_UNMAPPED::analgesia,CT_UNMAPPED::opioid use,14
CT_UNMAPPED::analgesia,CT_UNMAPPED::surgery,14
CT_UNMAPPED::breast cancer,CT_UNMAPPED::drug interactions,14
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::surgery,14
CT_UNMAPPED::opioid use,CT_UNMAPPED::pain management,14
CT_UNMAPPED::pain management,CT_UNMAPPED::post operative pain,14
CT_UNMAPPED::prostate cancer,CT_UNMAPPED::surgery,14
CT_UNMAPPED::end stage renal disease,CT_UNMAPPED::hiv,14
CT_UNMAPPED::end stage renal disease,CT_UNMAPPED::kidney disease,14
CT_UNMAPPED::lung cancer,CT_UNMAPPED::prostate cancer,14
CT_UNMAPPED::non small cell lung cancer,CT_UNMAPPED::prostate cancer,14
CT_UNMAPPED::cancer,CT_UNMAPPED::cardiovascular disease,14
CT_UNMAPPED::chronic heart failure,CT_UNMAPPED::chronic kidney disease,14
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::kidney disease,14
CT_UNMAPPED::depression,CT_UNMAPPED::head and neck cancer,14
CT_UNMAPPED::depression,CT_UNMAPPED::insomnia,14
CT_UNMAPPED::major depression,CT_UNMAPPED::treatment resistant depression,14
CT_UNMAPPED::depression,CT_UNMAPPED::type 2 diabetes,14
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::prostate cancer,14
CT_UNMAPPED::covid19,CT_UNMAPPED::mild cognitive impairment,14
CT_UNMAPPED::bipolar depression,CT_UNMAPPED::depression,14
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::depression,14
CT_UNMAPPED::cocaine dependence,CT_UNMAPPED::depression,14
CT_UNMAPPED::depression,CT_UNMAPPED::schizoaffective disorder,14
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::covid,14
CT_UNMAPPED::diabetes mellitus type ii,CT_UNMAPPED::type 2 diabetes,14
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::type 2 diabetes,14
CT_UNMAPPED::breast cancer,CT_UNMAPPED::drug interaction,14
CT_UNMAPPED::diabetes,CT_UNMAPPED::endothelial dysfunction,14
CT_UNMAPPED::menopause,CT_UNMAPPED::mild cognitive impairment,14
CT_UNMAPPED::pregnancy,CT_UNMAPPED::pregnancy related,14
CT_UNMAPPED::depression,CT_UNMAPPED::parkinson s disease,14
CT_UNMAPPED::menopause,CT_UNMAPPED::pregnancy,14
CT_UNMAPPED::breast cancer,CT_UNMAPPED::parkinson s disease,14
CT_UNMAPPED::breast cancer,CT_UNMAPPED::ptsd,14
CT_UNMAPPED::cancer,CT_UNMAPPED::ptsd,14
CT_UNMAPPED::analgesia,CT_UNMAPPED::pain management,13
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::head and neck cancer,13
CT_UNMAPPED::post operative pain,CT_UNMAPPED::surgery,13
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::prostate cancer,13
CT_UNMAPPED::migraine,CT_UNMAPPED::surgery,13
CT_UNMAPPED::cancer,CT_UNMAPPED::non small cell lung cancer,13
CT_UNMAPPED::cancer,CT_UNMAPPED::ovarian cancer,13
CT_UNMAPPED::lung cancer,CT_UNMAPPED::mild cognitive impairment,13
CT_UNMAPPED::lung cancer,CT_UNMAPPED::non small cell lung cancer,13
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::non small cell lung cancer,13
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::endothelial dysfunction,13
CT_UNMAPPED::depression,CT_UNMAPPED::hiv,13
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::chronic heart failure,13
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::kidney disease,13
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::type 1 diabetes,13
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::kidney disease,13
CT_UNMAPPED::diabetes,CT_UNMAPPED::kidney disease,13
CT_UNMAPPED::end stage renal disease,CT_UNMAPPED::type 1 diabetes,13
CT_UNMAPPED::migraine,CT_UNMAPPED::mild cognitive impairment,13
CT_UNMAPPED::aging,CT_UNMAPPED::hiv,13
CT_UNMAPPED::aging,CT_UNMAPPED::type 1 diabetes,13
CT_UNMAPPED::diabetes,CT_UNMAPPED::drug drug interaction,13
CT_UNMAPPED::diabetes,CT_UNMAPPED::heart failure with preserved ejection fraction,13
CT_UNMAPPED::diabetes,CT_UNMAPPED::high blood pressure,13
CT_UNMAPPED::drug drug interaction,CT_UNMAPPED::type 2 diabetes,13
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::covid19,13
CT_UNMAPPED::congenital heart disease,CT_UNMAPPED::diabetes,13
CT_UNMAPPED::diabetes,CT_UNMAPPED::surgery,13
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::pregnancy,13
CT_UNMAPPED::depression,CT_UNMAPPED::magnetic resonance imaging,13
CT_UNMAPPED::major depression,CT_UNMAPPED::pregnancy,13
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::ptsd,13
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::preeclampsia,13
CT_UNMAPPED::endothelial dysfunction,CT_UNMAPPED::type 2 diabetes,13
CT_UNMAPPED::preeclampsia,CT_UNMAPPED::type 2 diabetes,13
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::covid,13
CT_UNMAPPED::aging,CT_UNMAPPED::covid19,13
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::prostate cancer,13
CT_UNMAPPED::breast cancer,CT_UNMAPPED::metastatic breast cancer,13
CT_UNMAPPED::cancer,CT_UNMAPPED::cognitive impairment,13
CT_UNMAPPED::cancer,CT_UNMAPPED::menopause,13
CT_UNMAPPED::cancer,CT_UNMAPPED::type 2 diabetes,13
CT_UNMAPPED::covid19,CT_UNMAPPED::ovarian cancer,13
CT_UNMAPPED::alcohol use disorder,CT_UNMAPPED::breast cancer,13
CT_UNMAPPED::alcohol use disorder,CT_UNMAPPED::depression,13
CT_UNMAPPED::cancer,CT_UNMAPPED::gastric cancer,13
CT_UNMAPPED::lung cancer,CT_UNMAPPED::pancreatic cancer,13
CT_UNMAPPED::depression,CT_UNMAPPED::posttraumatic stress disorder,13
CT_UNMAPPED::cancer,CT_UNMAPPED::colorectal cancer,13
CT_UNMAPPED::breast cancer,CT_UNMAPPED::endometrial cancer,13
CT_UNMAPPED::pregnancy,CT_UNMAPPED::prostate cancer,13
CT_UNMAPPED::posttraumatic stress disorder,CT_UNMAPPED::ptsd,13
CT_UNMAPPED::type 2 diabetes,CT_UNMAPPED::type2 diabetes,13
CT_UNMAPPED::analgesia,CT_UNMAPPED::chronic low back pain,12
CT_UNMAPPED::analgesia,CT_UNMAPPED::head and neck cancer,12
CT_UNMAPPED::breast cancer,CT_UNMAPPED::cirrhosis,12
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::pain management,12
CT_UNMAPPED::covid19,CT_UNMAPPED::kidney disease,12
CT_UNMAPPED::covid19,CT_UNMAPPED::sickle cell disease,12
CT_UNMAPPED::pain management,CT_UNMAPPED::surgery,12
CT_UNMAPPED::post operative pain,CT_UNMAPPED::total knee arthroplasty,12
CT_UNMAPPED::migraine,CT_UNMAPPED::neuropathic pain,12
CT_UNMAPPED::surgery,CT_UNMAPPED::surgery complications,12
CT_UNMAPPED::end stage renal disease,CT_UNMAPPED::kidney transplant,12
CT_UNMAPPED::hiv,CT_UNMAPPED::non small cell lung cancer,12
CT_UNMAPPED::blood pressure,CT_UNMAPPED::kidney disease,12
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::type 1 diabetes,12
CT_UNMAPPED::diabetes,CT_UNMAPPED::prediabetes,12
CT_UNMAPPED::depression,CT_UNMAPPED::sleep disorders,12
CT_UNMAPPED::cancer,CT_UNMAPPED::major depression,12
CT_UNMAPPED::cancer,CT_UNMAPPED::unspecified adult solid tumor protocol specific,12
CT_UNMAPPED::depression,CT_UNMAPPED::unspecified adult solid tumor protocol specific,12
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::mild cognitive impairment,12
CT_UNMAPPED::insomnia,CT_UNMAPPED::psychosomatic disorders,12
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::treatment resistant depression,12
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::unspecified adult solid tumor protocol specific,12
CT_UNMAPPED::aging,CT_UNMAPPED::cognitive impairment,12
CT_UNMAPPED::blood pressure,CT_UNMAPPED::hiv,12
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::cognitive impairment,12
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::diabetes,12
CT_UNMAPPED::type 2 diabetes,CT_UNMAPPED::type ii diabetes mellitus,12
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::head and neck cancer,12
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::hemodialysis,12
