drug_key,example_ct_drug,example_pubtator_drug,n_ct_diseases,n_pubtator_diseases,n_shared_diseases,n_union_diseases,jaccard_disease_alignment
spironolactone,Spironolactone,Spironolactone,259,779,0,1038,0.0
sulfamethoxazole,,Sulfamethoxazole,0,1301,0,1301,0.0
sulfamethoxazole trimethoprim,Sulfamethoxazole; Trimethoprim,,252,0,0,252,0.0
sumatriptan,Sumatriptan,Sumatriptan,44,203,0,247,0.0
testosterone,Testosterone,Testosterone,234,1288,0,1522,0.0
thyroid,Thyroid,Thyroid,260,1541,0,1801,0.0
tirzepatide,Tirzepatide,,114,0,0,114,0.0
tizanidine,Tizanidine,Tizanidine,31,166,0,197,0.0
topiramate,Topiramate,Topiramate,126,656,0,782,0.0
tramadol,Tramadol,Tramadol,238,514,0,752,0.0
trazodone,Trazodone,Trazodone,63,303,0,366,0.0
triamcinolone,Triamcinolone,Triamcinolone,216,992,0,1208,0.0
triamterene,,Triamterene,0,102,0,102,0.0
valacyclovir,Valacyclovir,Valacyclovir,85,418,0,503,0.0
valproate,,Valproate,0,1337,0,1337,0.0
valsartan,Valsartan,Valsartan,134,448,0,582,0.0
venlafaxine,Venlafaxine,Venlafaxine,107,390,0,497,0.0
vilanterol,,Vilanterol,0,31,0,31,0.0
zolpidem,Zolpidem,Zolpidem,105,268,0,373,0.0
