drug,nct_id,title,status,phase,disease,first_submit
Atorvastatin,NCT01306565,High Dose and Low Dose of Atorvastatin in Patients With Unstable Angina and NSTEMI (Non ST Elevation MI),COMPLETED,,Cardiovascular Disease,2011-03-01
Atorvastatin,NCT02107898,Efficacy and Safety Evaluation of Alirocumab in Patients With Heterozygous Familial Hypercholesterolemia or High Cardiovascular Risk Patients With Hypercholesterolemia on Lipid Modifying Therapy (ODYSSEY JAPAN),COMPLETED,PHASE3,Hypercholesterolemia,2014-04-04
Atorvastatin,NCT05372380,A Study to Evaluate Drug-drug Interactions Between BR1017-1 and BR1017-2 in Healthy Volunteers,COMPLETED,PHASE1,Hypertension; Hypercholesterinemia,2022-05-09
Atorvastatin,NCT07121088,Traditional Chinese Medicine Intervention for Ischemic Cerebrovascular Disease and Diabetes Mellitus: An Efficacy Comparative Study,NOT_YET_RECRUITING,PHASE4,Ischemic Cerebral Infarction; Diabetes Mellitus,2025-07-04
Atorvastatin,NCT02411903,The Dynamic Effect of Non-cytochrome P450 Isoenzyme 3A4（CYP3A4）-Metabolized and Cytochrome P450 Isoenzyme 3A4（CYP3A4）-Metabolized Statins on Clopidogrel Resistance in Patients With Cerebral Infarction,UNKNOWN,PHASE4,"Cerebral Infarction; Clopidogrel,Poor Metabolism of (Disorder)",2015-03-17
Atorvastatin,NCT01518166,Effect of Liraglutide on Gastrointestinal Absorption of Several Drugs and Potential Influence of Liraglutide on Intragastric pH,COMPLETED,PHASE1,Diabetes,2012-01-17
Atorvastatin,NCT00332761,Caduet in an Untreated Subject Population,COMPLETED,PHASE4,Hypertension; Dyslipidemia,2006-06-01
Atorvastatin,NCT06976866,Effect of Topical Application of Atorvastatin Gel Versus Hyaluronic Acid on Immediate Loading Dental Implant in Posterior Maxilla,ACTIVE_NOT_RECRUITING,,"In Recent Years, There Has Been a Rise in the Use of Immediate Loading Protocols; Dental Implant Stability",2025-04-22
Atorvastatin,NCT00651404,Ezetimibe Plus Atorvastatin Versus Atorvastatin Alone in Subjects With Primary Hypercholesterolemia (Study P03406),COMPLETED,PHASE3,Hypercholesterolemia; Atherosclerosis,2008-03-31
Atorvastatin,NCT03318484,Sonodynamic Therapy on Patients With Femoropopliteal PAD and Claudication,WITHDRAWN,PHASE1; PHASE2,Peripheral Arterial Disease; Atherosclerosis; Cardiovascular Diseases,2017-10-12
Atorvastatin,NCT00570752,Efficacy Study of p38 Kinase Inhibitor to Treat Patients With Atherosclerosis,COMPLETED,PHASE2,Vascular Diseases,2007-12-10
Atorvastatin,NCT02776956,Study on Left Atrial Function of Atrial Fibrillation After Radiofrequency Ablation With Statin Therapy,COMPLETED,,Atrial Fibrillation,2016-04-29
Atorvastatin,NCT04789057,Atorvastatin Effect on Reduction of COPD Exacerbations,RECRUITING,PHASE4,Copd; COPD Exacerbation; Smoking; Gene Expression; Atorvastatin,2021-02-15
Atorvastatin,NCT00437892,Statins to Reduce D-dimer Levels in Patients With Venous Thrombosis,TERMINATED,PHASE2,Venous Thromboembolism; Hypercholesterolemia,2007-02-20
Atorvastatin,NCT01322711,"Atorvastatin, Aspirin, Oxidative Stress, Coagulation and Platelet Activation Indexes",UNKNOWN,PHASE4,Type 2 Diabetes Mellitus; Hypercholesterolemia,2011-03-24
Atorvastatin,NCT01648829,PharmacOdynamic compaRison of piTavastatin Versus atOrvastatin on Platelet Reactivity,UNKNOWN,PHASE4,Coronary Artery Disease,2012-07-19
Atorvastatin,NCT01200056,Virtual Histology Findings and Effects of Varying Doses of Atorvastatin Treatment,COMPLETED,PHASE4,"Coronary Disease; Ultrasonography, Interventional; Hydroxymethylglutaryl-CoA Reductase Inhibitors",2010-09-09
Atorvastatin,NCT00844376,Bioavailability Study for New Atorvastatin Formulation,COMPLETED,PHASE4,Hypercholesterolemia,2009-02-13
Atorvastatin,NCT01043380,Plaque REgression With Cholesterol Absorption Inhibitor or Synthesis Inhibitor Evaluated by IntraVascular UltraSound,COMPLETED,PHASE4,Hypercholesterolemia; Coronary Artery Disease,2010-01-05
Atorvastatin,NCT04943783,Atorvastatin in the TREATment of Intracranial Unruptured VertebroBasilar Dissecting Aneurysms,UNKNOWN,,Dissecting Aneurysm of Cerebral Artery; Intramural Hematomas; Inflammation Vascular,2021-05-31
Atorvastatin,NCT05397405,Improving Blood Lipid Management in Symptomatic Intracranial Atherosclerotic Stenosis on Clinical Outcome,RECRUITING,,Intracranial Artery Stenosis,2022-05-23
Atorvastatin,NCT01161082,Ascending Multi-dose Study of REGN727(SAR236553) With and Without Concomitant Atorvastatin,COMPLETED,PHASE1,Hypercholesterolemia,2010-07-09
Atorvastatin,NCT00166036,Effect of Statins on Oxidative Stress and Endothelial Progenitor Cells,COMPLETED,PHASE2,Diabetes Mellitus; Metabolic Syndrome X; Hypercholesterolemia,2005-09-12
Atorvastatin,NCT01544309,LIpid Lowering With Highly Potent Statins in Hyperlipidaemia With Type 2 Diabetes patiENts,COMPLETED,,Hypercholesterolemia With Concomitant Type 2 Diabetes,2012-02-23
