drug_name,drug_id,disease_name,disease_id,total_disease_entities
Atorvastatin,@CHEMICAL_Atorvastatin,Encephalomyelitis Autoimmune Experimental,@DISEASE_Encephalomyelitis_Autoimmune_Experimental,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Glioblastoma,@DISEASE_Glioblastoma,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Periodontitis,@DISEASE_Periodontitis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Spinal Cord Injuries,@DISEASE_Spinal_Cord_Injuries,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Aortic Aneurysm Abdominal,@DISEASE_Aortic_Aneurysm_Abdominal,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Chronic Periodontitis,@DISEASE_Chronic_Periodontitis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Glycosuria Renal,@DISEASE_Glycosuria_Renal,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hypertriglyceridemic Waist,@DISEASE_Hypertriglyceridemic_Waist,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hypertrophy Left Ventricular,@DISEASE_Hypertrophy_Left_Ventricular,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Ischemic Stroke,@DISEASE_Ischemic_Stroke,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Malformations of Cortical Development Group I,@DISEASE_Malformations_of_Cortical_Development_Group_I,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Mitochondrial Diseases,@DISEASE_Mitochondrial_Diseases,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Neointima,@DISEASE_Neointima,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Pancreatitis,@DISEASE_Pancreatitis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Renal Artery Obstruction,@DISEASE_Renal_Artery_Obstruction,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Cardiomyopathy Hypertrophic,@DISEASE_Cardiomyopathy_Hypertrophic,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Chemical and Drug Induced Liver Injury,@DISEASE_Chemical_and_Drug_Induced_Liver_Injury,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hyperglycemia,@DISEASE_Hyperglycemia,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Kidney Failure Chronic,@DISEASE_Kidney_Failure_Chronic,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Myocardial Stunning,@DISEASE_Myocardial_Stunning,1026
Atorvastatin,@CHEMICAL_Atorvastatin,No Reflow Phenomenon,@DISEASE_No_Reflow_Phenomenon,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Pneumonia,@DISEASE_Pneumonia,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Pulmonary Disease Chronic Obstructive,@DISEASE_Pulmonary_Disease_Chronic_Obstructive,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Stiff Skin Syndrome,@DISEASE_Stiff_Skin_Syndrome,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Coronary Stenosis,@DISEASE_Coronary_Stenosis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Edema,@DISEASE_Edema,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Erectile Dysfunction,@DISEASE_Erectile_Dysfunction,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Essential Hypertension,@DISEASE_Essential_Hypertension,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Glucose Intolerance,@DISEASE_Glucose_Intolerance,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Memory Disorders,@DISEASE_Memory_Disorders,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Myotonic Dystrophy,@DISEASE_Myotonic_Dystrophy,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Pulmonary Fibrosis,@DISEASE_Pulmonary_Fibrosis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Xanthomatosis,@DISEASE_Xanthomatosis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Asthma,@DISEASE_Asthma,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Bone Diseases,@DISEASE_Bone_Diseases,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Carcinoma Renal Cell,@DISEASE_Carcinoma_Renal_Cell,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Coronary Restenosis,@DISEASE_Coronary_Restenosis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Heart Arrest,@DISEASE_Heart_Arrest,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hyperhomocysteinemia,@DISEASE_Hyperhomocysteinemia,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Necrosis,@DISEASE_Necrosis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Arthritis,@DISEASE_Arthritis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Brain Edema,@DISEASE_Brain_Edema,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Carcinogenesis,@DISEASE_Carcinogenesis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Colitis,@DISEASE_Colitis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hyperalgesia,@DISEASE_Hyperalgesia,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Lymphoma,@DISEASE_Lymphoma,1026
