pmid,n_pairs,n_drugs,n_diseases,has_one_drug_multi_diseases,has_one_disease_multi_drugs
32096839,1,1,1,False,False
34423376,5,2,3,True,True
32434204,4,2,2,True,True
37213457,1,1,1,False,False
40821655,2,1,2,True,False
31656041,1,1,1,False,False
34018147,3,2,2,True,True
37303640,1,1,1,False,False
41010649,2,2,1,False,True
41019772,2,1,2,True,False
36684592,1,1,1,False,False
35831153,3,2,2,True,True
36104136,1,1,1,False,False
31872906,1,1,1,False,False
30009378,2,1,2,True,False
37612152,2,1,2,True,False
39211514,5,2,4,True,True
40778853,5,2,4,True,True
38093823,4,3,3,True,True
34239788,2,2,1,False,True
11476649,1,1,1,False,False
11476650,1,1,1,False,False
30580373,1,1,1,False,False
31423377,3,2,2,True,True
27098970,1,1,1,False,False
28407684,1,1,1,False,False
20298995,1,1,1,False,False
11485701,1,1,1,False,False
11336625,3,1,3,True,False
17127811,2,1,2,True,False
31354240,3,1,3,True,False
18637893,3,1,3,True,False
26311995,3,2,2,True,True
28177908,4,2,2,True,True
18575157,2,1,2,True,False
25107416,1,1,1,False,False
22763563,1,1,1,False,False
24471247,2,1,2,True,False
27448700,3,1,3,True,False
17394957,3,1,3,True,False
21076721,2,1,2,True,False
19294693,1,1,1,False,False
22295025,1,1,1,False,False
28796030,3,2,2,True,True
12398573,1,1,1,False,False
22724225,1,1,1,False,False
14637261,1,1,1,False,False
15952920,3,1,3,True,False
21834489,3,2,2,True,True
15372179,2,1,2,True,False
19608026,3,1,3,True,False
28553847,5,2,4,True,True
25538368,1,1,1,False,False
19796736,3,2,2,True,True
27534254,1,1,1,False,False
18157962,4,1,4,True,False
14583367,2,1,2,True,False
15044331,1,1,1,False,False
20137540,1,1,1,False,False
27307415,2,1,2,True,False
15007110,2,2,1,False,True
23289728,1,1,1,False,False
27119829,2,2,1,False,True
20630099,1,1,1,False,False
16369062,2,1,2,True,False
20613550,4,1,4,True,False
15714350,2,1,2,True,False
18608041,1,1,1,False,False
16611135,4,1,4,True,False
28504565,4,1,4,True,False
27749321,2,1,2,True,False
19643320,4,1,4,True,False
16613195,2,2,1,False,True
38222118,2,2,1,False,True
37934798,1,1,1,False,False
31544472,3,1,3,True,False
32577187,1,1,1,False,False
37828675,1,1,1,False,False
35956986,1,1,1,False,False
37933122,5,5,1,False,True
34249288,2,2,1,False,True
32483134,1,1,1,False,False
33541430,6,2,3,True,True
36922850,1,1,1,False,False
32617141,4,1,4,True,False
38054840,2,1,2,True,False
36880145,3,2,2,True,True
36962886,5,5,1,False,True
34698889,2,2,1,False,True
31786357,1,1,1,False,False
36550424,1,1,1,False,False
35331984,2,2,2,False,False
40187473,1,1,1,False,False
38639436,4,1,4,True,False
36677668,3,2,2,True,True
31382228,2,2,1,False,True
38451055,3,1,3,True,False
34292180,2,1,2,True,False
32700000,2,2,1,False,True
39636620,4,1,4,True,False
33047339,2,1,2,True,False
36399967,1,1,1,False,False
39330938,3,3,1,False,True
35730409,2,1,2,True,False
36662714,5,5,1,False,True
40223595,1,1,1,False,False
36941404,13,5,5,True,True
38573708,3,1,3,True,False
40246250,3,1,3,True,False
34494933,2,1,2,True,False
35857055,1,1,1,False,False
36946734,2,1,2,True,False
35656753,1,1,1,False,False
36018037,3,1,3,True,False
37972431,2,2,1,False,True
33730574,2,1,2,True,False
32321253,1,1,1,False,False
35850353,2,1,2,True,False
37848743,1,1,1,False,False
37580234,4,2,2,True,True
37169875,1,1,1,False,False
33536794,7,2,5,True,True
39262357,3,2,2,True,True
37012015,2,1,2,True,False
35989626,2,1,2,True,False
37352973,1,1,1,False,False
40103623,5,4,2,True,True
35287972,1,1,1,False,False
25591572,2,1,2,True,False
28352156,4,2,3,True,True
19936146,2,2,1,False,True
15111846,2,1,2,True,False
15683592,1,1,1,False,False
15094970,1,1,1,False,False
22231155,2,2,1,False,True
26577796,2,1,2,True,False
23404941,3,1,3,True,False
19540640,2,1,2,True,False
26591556,2,1,2,True,False
31098239,1,1,1,False,False
21356073,2,1,2,True,False
22941786,2,1,2,True,False
20838204,1,1,1,False,False
26550356,2,2,1,False,True
38027676,1,1,1,False,False
32918982,3,1,3,True,False
38097856,1,1,1,False,False
40737198,2,1,2,True,False
32605304,1,1,1,False,False
34912427,2,1,2,True,False
37811121,4,1,4,True,False
33804727,5,2,3,True,True
37864509,2,1,2,True,False
34478238,1,1,1,False,False
34749751,3,3,1,False,True
34681767,1,1,1,False,False
33309831,1,1,1,False,False
35214093,4,2,2,True,True
39975967,2,2,1,False,True
38110014,1,1,1,False,False
34363915,2,2,2,False,False
39357807,1,1,1,False,False
36075470,2,1,2,True,False
36873078,1,1,1,False,False
36806341,1,1,1,False,False
40355402,1,1,1,False,False
39741475,2,2,1,False,True
33434916,1,1,1,False,False
36232476,1,1,1,False,False
36621870,1,1,1,False,False
36387654,2,2,1,False,True
38158660,3,1,3,True,False
32086092,1,1,1,False,False
40411436,1,1,1,False,False
40838840,1,1,1,False,False
33982484,1,1,1,False,False
36030366,1,1,1,False,False
34460997,4,2,2,True,True
40999530,2,1,2,True,False
31786648,6,1,6,True,False
33910760,2,2,1,False,True
37333476,2,2,1,False,True
36655145,1,1,1,False,False
40947782,1,1,1,False,False
39871590,6,4,4,True,True
40298778,2,2,1,False,True
38461445,7,2,6,True,True
40718254,16,8,5,True,True
38199739,5,2,3,True,True
35059574,1,1,1,False,False
40445062,4,1,4,True,False
34600839,1,1,1,False,False
